,naics_code,fiscal_year,base_and_all_options_value
329," HOUSEHOLD APPLIANCES, ELECTRIC HOUSEWARES, AND CONSUMER ELECTRONICS MERCHANT WHOLESALERS",2001,0.0
330, PRECISION TURNED PRODUCT MANUFACTURING,2002,0.0
331, DAIRY PRODUCT (EXCEPT DRIED OR CANNED) WHOLESALERS,2001,0.0
332, PACKAGED FROZEN FOOD WHOLESALERS,2006,0.0
333, METAL SERVICE CENTERS AND OFFICES,2001,0.0
334, METAL SERVICE CENTERS AND OFFICES,2002,0.0
335, METAL SERVICE CENTERS AND OFFICES,2005,0.0
336, COAL AND OTHER MINERAL AND ORE WHOLESALERS,2001,0.0
337, COAL AND OTHER MINERAL AND ORE WHOLESALERS,2002,0.0
338, COAL AND OTHER MINERAL AND ORE WHOLESALERS,2003,0.0
339, COAL AND OTHER MINERAL AND ORE WHOLESALERS,2005,0.0
340, COAL AND OTHER MINERAL AND ORE WHOLESALERS,2006,0.0
341," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND CONSTRUCTION MATERIAL WHOLESALERS",2001,0.0
342," ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND CONSTRUCTION MATERIAL WHOLESALERS",2001,0.0
343," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2001,0.0
344," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2000,0.0
345," ELECTRICAL APPLIANCE, TELEVISION, AND RADIO SET WHOLESALERS",2005,0.0
346, OTHER ELECTRONIC PARTS AND EQUIPMENT WHOLESALERS,2001,0.0
